,nome,estado
353966,Jair Bolsonaro,AP
122599,Ciro Gomes,AP
162976,Lula,AP
208336,Jair Bolsonaro,AP
113014,Jair Bolsonaro,AP
232246,Jair Bolsonaro,AP
3811,Jair Bolsonaro,AP
434458,Lula,AP
386907,Lula,AP
284697,Lula,AP
298055,Jair Bolsonaro,AP
158622,Jair Bolsonaro,AP
235390,Jair Bolsonaro,AP
4425,Simone Tebet,AP
298067,Lula,AP
159486,Lula,AP
382788,Lula,AP
296138,Lula,AP
51733,Lula,AP
109814,Lula,AP
351365,Jair Bolsonaro,AP
80624,Jair Bolsonaro,AP
333925,Lula,AP
59994,Simone Tebet,AP
112712,Ciro Gomes,AP
282409,Jair Bolsonaro,AP
308923,Jair Bolsonaro,AP
219251,Jair Bolsonaro,AP
170518,Lula,AP
68846,Jair Bolsonaro,AP
59435,Lula,AP
22534,Lula,AP
84310,Lula,AP
42123,Lula,AP
325332,Lula,AP
21758,Lula,AP
127640,Lula,AP
98619,Lula,AP
168186,Lula,AP
246384,Jair Bolsonaro,AP
48709,Simone Tebet,AP
437995,Lula,AP
362154,Lula,AP
342717,Lula,AP
352347,Jair Bolsonaro,AP
292530,Lula,AP
263019,Nulo,AP
227302,Jair Bolsonaro,AP
293476,Jair Bolsonaro,AP
2151,Lula,AP
141471,Simone Tebet,AP
359426,Lula,AP
44579,Jair Bolsonaro,AP
16045,Lula,AP
442750,Lula,AP
40621,Jair Bolsonaro,AP
91304,Lula,AP
3506,Ciro Gomes,AP
361203,Jair Bolsonaro,AP
146477,Jair Bolsonaro,AP
418598,Jair Bolsonaro,AP
96552,Jair Bolsonaro,AP
54037,Simone Tebet,AP
438302,Jair Bolsonaro,AP
219070,Lula,AP
169083,Lula,AP
188412,Jair Bolsonaro,AP
92720,Jair Bolsonaro,AP
272908,Jair Bolsonaro,AP
314630,Jair Bolsonaro,AP
176801,Lula,AP
59013,Jair Bolsonaro,AP
64912,Lula,AP
135725,Lula,AP
240122,Jair Bolsonaro,AP
435712,Lula,AP
364234,Jair Bolsonaro,AP
73137,Jair Bolsonaro,AP
318662,Jair Bolsonaro,AP
440278,Lula,AP
151832,Lula,AP
257259,Lula,AP
176411,Ciro Gomes,AP
383482,Lula,AP
365027,Lula,AP
60451,Lula,AP
184617,Jair Bolsonaro,AP
183468,Lula,AP
168631,Jair Bolsonaro,AP
73026,Nulo,AP
368443,Simone Tebet,AP
72556,Lula,AP
282907,Jair Bolsonaro,AP
204019,Lula,AP
378363,Lula,AP
173041,Lula,AP
238560,Lula,AP
337090,Lula,AP
118500,Simone Tebet,AP
414775,Jair Bolsonaro,AP
313426,Lula,AP
267031,Lula,AP
129527,Lula,AP
50117,Jair Bolsonaro,AP
387346,Lula,AP
63461,Lula,AP
300514,Jair Bolsonaro,AP
